rmf_function,rmf_theme,governance_objective,control_ids,required_evidence,review_cadence,owner_role
GOVERN,Policy and accountability,Define ownership approval paths risk appetite and evidence responsibilities for AI systems,AI-GOV-001;AI-GOV-002,system intake; ownership matrix; approval record; risk tiering decision,per system and annual refresh,AI governance lead
GOVERN,Board and executive assurance,Give senior leaders clear approval questions for high-impact AI systems,AI-GOV-001;AI-GOV-002,board assurance checklist; residual risk summary; control evidence pack,per high-impact approval,Executive sponsor
GOVERN,Control ownership,Assign evidence accountability across security privacy legal operations and business owners,AI-GOV-001;AI-GOV-002,control evidence RACI; control test schedule; reviewer signoff,quarterly,Control owner
MAP,System context and data flows,Map use case context data sources users outputs impacts and deployment boundaries,AI-DATA-001;AI-GOV-002,data flow record; data classification worksheet; system intake,per release,Product owner
MAP,Third-party and dependency context,Map providers subprocessors hosted models plugins and continuity exposure,AI-VND-001;AI-BCM-001,third-party dependency register; DPA status; exit plan; continuity evidence,renewal and annual review,Third-party risk owner
MAP,Human impact and decision context,Identify workflows that affect people access records finances education or eligibility,AI-AGT-002;AI-GOV-002,human approval matrix; high-impact action inventory; risk tier decision,per workflow change,Risk owner
MEASURE,Evaluation and red-team evidence,Measure safety quality citation refusal prompt injection and policy behavior before release,AI-SEC-001;AI-OPS-001,evaluation evidence register; red-team test plan; pass-rate evidence,per release,Security testing lead
MEASURE,Access and privilege assurance,Measure whether users service accounts API keys and agent tools remain least-privileged,AI-ID-001;AI-AGT-001,access recertification register; tool inventory; MFA evidence,quarterly,Identity owner
MEASURE,Monitoring indicators,Define KPIs thresholds alert evidence and escalation for production AI behavior,AI-OPS-001;AI-DATA-002,model monitoring KPI register; logging and retention checklist; alert test evidence,monthly,Operations owner
MANAGE,Risk treatment and exceptions,Track residual risk decisions compensating controls exception aging and remediation due dates,AI-GOV-002;AI-OPS-001,risk register; exception register; owner review queue,monthly,Risk manager
MANAGE,Incident response and tabletop readiness,Prepare containment evidence communication privacy review fallback and remediation paths,AI-OPS-001;AI-BCM-001,incident evidence register; tabletop evidence register; playbook record,semiannual,Incident response lead
MANAGE,Retirement deletion and exit,Manage safe decommissioning provider exit data deletion credential shutdown and residual risk closure,AI-BCM-001;AI-DATA-002,decommissioning checklist; deletion evidence report; provider exit plan,per retirement or provider change,System owner
