owasp_id,risk_name,governance_intent,control_ids,required_evidence,release_gate,monitoring_signal,owner_role
LLM01:2025,Prompt Injection,Prevent user or retrieved instructions from overriding control boundaries,AI-SEC-001;AI-AGT-001;AI-OPS-001,prompt injection tests; indirect retrieval poisoning tests; remediation record,Block release when high-severity prompt injection or indirect injection findings remain open,prompt injection detections; retrieval anomaly alerts; denied tool attempts,Security testing lead
LLM02:2025,Sensitive Information Disclosure,Reduce leakage of personal data confidential records credentials and proprietary information,AI-DATA-001;AI-DATA-002;AI-OPS-001,data classification worksheet; logging risk assessment; redaction test results,Block release when sensitive data paths lack classification logging decision or redaction evidence,DLP alerts; sensitive output matches; abnormal data access,Data protection owner
LLM03:2025,Supply Chain,Govern providers models datasets plugins tools and deployment dependencies,AI-VND-001;AI-GOV-002;AI-BCM-001,vendor due diligence; data processing agreement; dependency inventory; exit plan,Block release when critical provider or model dependency lacks approval assurance or exit evidence,provider status alerts; dependency review expiry; subprocessor changes,Third-party risk owner
LLM04:2025,Data and Model Poisoning,Protect training fine-tuning RAG and evaluation data from malicious or low-integrity changes,AI-DATA-001;AI-SEC-001;AI-OPS-001,dataset lineage; source approval; adversarial tests; monitoring rules,Block release when untrusted data sources are used without lineage review and poisoning tests,data drift alerts; retrieval source anomalies; evaluation regressions,Model risk owner
LLM05:2025,Improper Output Handling,Prevent model output from being treated as trusted code commands content or decisions without controls,AI-SEC-001;AI-AGT-001;AI-AGT-002,output handling tests; tool allowlist; human approval records,Block release when model output can trigger high-impact actions without validation or approval,unsafe output detections; blocked action logs; approval bypass attempts,Application security owner
LLM06:2025,Excessive Agency,Limit AI agents to explicit tools scoped identities and approved high-impact actions,AI-ID-001;AI-AGT-001;AI-AGT-002,service identity review; tool inventory; approval workflow evidence,Block release when an agent has broad credentials unreviewed tools or missing approval gates,privileged tool calls; approval denials; service account anomalies,Agentic workflow owner
LLM07:2025,System Prompt Leakage,Protect prompts policies hidden instructions and implementation details that create exploitable knowledge,AI-DATA-001;AI-DATA-002;AI-SEC-001,prompt classification; logging decision; leakage test cases,Block release when system prompts or hidden policies are exposed through standard or adversarial prompts,prompt leakage detections; sensitive configuration matches,AI platform owner
LLM08:2025,Vector and Embedding Weaknesses,Control retrieval indexes embeddings chunk sources and vector-store access boundaries,AI-DATA-001;AI-SEC-001;AI-OPS-001,index data classification; retrieval test results; vector-store access review,Block release when retrieval can expose unauthorized sources or stale untrusted chunks,unauthorized retrieval hits; index drift; embedding store access anomalies,RAG owner
LLM09:2025,Misinformation,Reduce unsupported harmful or ungrounded outputs in workflows where users may over-rely on answers,AI-GOV-001;AI-GOV-002;AI-SEC-001;AI-OPS-001,use-case owner signoff; evaluation evidence; human review rules; monitoring thresholds,Block release when critical outputs lack evaluation evidence grounding checks or human review rules,hallucination reports; low confidence answers; user dispute trends,AI product owner
LLM10:2025,Unbounded Consumption,Prevent denial of service denial of wallet and model extraction through uncontrolled usage,AI-OPS-001;AI-BCM-001;AI-ID-001,rate limit configuration; cost alert rules; continuity plan; access review,Block release when usage limits cost alerts and fallback procedures are not tested,token spikes; cost threshold breaches; throttling events; extraction-like query patterns,Operations owner
